stop_lat,stop_code,stop_serial_number,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.453242,2689,1787,-158.175021,2689,http://hea.thebus.org/nextbus.asp?s=2689,,,WAIANAE VALLEY RD + 85-772,0,
21.457555,2685,1783,-158.167963,2685,http://hea.thebus.org/nextbus.asp?s=2685,,,KANEAKI ST + OPP KEPAUALA ST,0,
21.458472,2686,1784,-158.169017,2686,http://hea.thebus.org/nextbus.asp?s=2686,,,KANEAKI ST + WAIANAE VALLEY RD,0,
21.458028,2687,1785,-158.170095,2687,http://hea.thebus.org/nextbus.asp?s=2687,,,WAIANAE VALLEY RD + PILIUKA PL,0,
21.457086,2680,1778,-158.164024,2680,http://hea.thebus.org/nextbus.asp?s=2680,,,KANEAKI ST + OPP KOOLINA ST,0,
21.42008,1436,450,-157.748843,1436,http://hea.thebus.org/nextbus.asp?s=1436,,,MOKAPU BL + KALAHEO AVE,0,
21.300983,3999,3110,-157.803176,3999,http://hea.thebus.org/nextbus.asp?s=3999,,,BERTRAM ST + 1772,0,
21.4221,1437,451,-157.748511,1437,http://hea.thebus.org/nextbus.asp?s=1437,,,KANEOHE BAY DR + MOKAPU BL,0,
21.391589,645,3553,-158.15647,645,http://hea.thebus.org/nextbus.asp?s=645,,,FARRINGTON HWY + OPP MOHIHI ST,0,
21.438198,3441,2609,-158.015381,3441,http://hea.thebus.org/nextbus.asp?s=3441,,,KUAHELANI AVE + HOKULEWA PL,0,
21.301947,3998,3109,-157.802254,3998,http://hea.thebus.org/nextbus.asp?s=3998,,,BERTRAM ST + OPP SAINT LOUIS DR,0,
21.416625,1434,448,-157.750408,1434,http://hea.thebus.org/nextbus.asp?s=1434,,,MOKAPU BL + OPP ILILANI ST,0,
21.275616,91,3836,-157.812838,91,http://hea.thebus.org/nextbus.asp?s=91,,,CAMPBELL AVE + CATHERINE ST,0,
21.276742,90,3825,-157.813171,90,http://hea.thebus.org/nextbus.asp?s=90,,,CAMPBELL AVE + CASTLE ST,0,
21.27305,93,3858,-157.812069,93,http://hea.thebus.org/nextbus.asp?s=93,,,CAMPBELL AVE + GEORGE ST,0,
21.274305,92,3847,-157.812442,92,http://hea.thebus.org/nextbus.asp?s=92,,,CAMPBELL AVE + ESTHER ST,0,
21.269812,95,3880,-157.8114,95,http://hea.thebus.org/nextbus.asp?s=95,,,CAMPBELL AVE + MONSARRAT AVE,0,
21.271712,94,3869,-157.811707,94,http://hea.thebus.org/nextbus.asp?s=94,,,CAMPBELL AVE + HINANO ST,0,
21.269077,96,3891,-157.813611,96,http://hea.thebus.org/nextbus.asp?s=96,,,MONSARRAT AVE + KANAINA ST,0,
21.290052,3207,2355,-157.712165,3207,http://hea.thebus.org/nextbus.asp?s=3207,,,HAWAII KAI DR + OPP OPIHIKAO PL,0,
21.387194,1990,1060,-157.943965,1990,http://hea.thebus.org/nextbus.asp?s=1990,,,MOANALUA RD + OPP PEARLRIDGE ELEMENTARY SCHOOL,0,
21.377412,1993,1063,-157.924049,1993,http://hea.thebus.org/nextbus.asp?s=1993,,,ULUNE ST + OPP ALIIPOE DR,0,
21.468835,1620,655,-158.003168,1620,http://hea.thebus.org/nextbus.asp?s=1620,,,UKUWAI ST + MILILANI PARK & RIDE,0,
21.456899,1627,662,-158.016463,1627,http://hea.thebus.org/nextbus.asp?s=1627,,,KAMEHAMEHA HWY + KUAHELANI AVE,0,
21.376779,1994,1064,-157.922156,1994,http://hea.thebus.org/nextbus.asp?s=1994,,,ULUNE ST + OPP PUALAA ST,0,
21.420108,1625,660,-158.006248,1625,http://hea.thebus.org/nextbus.asp?s=1625,,,KAMEHAMEHA HWY + KA UKA BL,0,
21.411083,1624,659,-158.000221,1624,http://hea.thebus.org/nextbus.asp?s=1624,,,KAMEHAMEHA HWY + WAIPIO UKA ST,0,
21.393885,1999,1069,-157.952682,1999,http://hea.thebus.org/nextbus.asp?s=1999,,,KAAHUMANU ST + OPP NOELANI ST,0,
21.390816,1998,1068,-157.952306,1998,http://hea.thebus.org/nextbus.asp?s=1998,,,MOANALUA RD + KAAHUMANU ST,0,
