"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"Ventura County Line","VCL-MTWTF-20190408","295000385-20190408","Burbank Airport - South (VC Line)","911","0"
"Ventura County Line","VCL-MTWTF-20190408","295000387-20190408","Burbank Airport - South (VC Line)","909","0"
"Ventura County Line","VCL-MTWTF-20190408","295000941-20190408","Burbank Airport - South (VC Line)","913","0"
"San Bernardino Line","SBL-MTWTF-20190408","295100222-20190408","L.A. Union Station","301","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100223-20190408","L.A. Union Station","303","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100226-20190408","L.A. Union Station","305","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100228-20190408","L.A. Union Station","327","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100230-20190408","L.A. Union Station","309","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100232-20190408","L.A. Union Station","311","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100234-20190408","L.A. Union Station","313","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100236-20190408","L.A. Union Station","315","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100238-20190408","L.A. Union Station","317","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100240-20190408","L.A. Union Station","319","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100242-20190408","L.A. Union Station","321","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100246-20190408","L.A. Union Station","325","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100250-20190408","L.A. Union Station","329","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100252-20190408","L.A. Union Station","331","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100254-20190408","L.A. Union Station","333","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100861-20190408","L.A. Union Station","335","1"
"San Bernardino Line","SBL-MTWTF-20190408","295100862-20190408","L.A. Union Station","337","1"
"San Bernardino Line","SBL-MTWTF-20190408","295101003-20190408","L.A. Union Station","307","1"
"San Bernardino Line","SBL-MTWTF-20190408","295200221-20190408","San Bernardino - Downtown","300","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200224-20190408","San Bernardino - Downtown","302","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200225-20190408","San Bernardino - Downtown","304","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200229-20190408","San Bernardino - Downtown","308","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200233-20190408","San Bernardino - Downtown","312","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200235-20190408","San Bernardino - Downtown","314","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200237-20190408","San Bernardino - Downtown","316","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200239-20190408","San Bernardino - Downtown","318","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200241-20190408","San Bernardino - Downtown","320","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200243-20190408","San Bernardino - Downtown","322","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200245-20190408","San Bernardino - Downtown","310","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200247-20190408","San Bernardino - Downtown","326","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200249-20190408","San Bernardino - Downtown","328","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200251-20190408","San Bernardino - Downtown","330","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200253-20190408","San Bernardino - Downtown","332","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200881-20190408","San Bernardino - Downtown","334","0"
"San Bernardino Line","SBL-MTWTF-20190408","295200882-20190408","San Bernardino - Downtown","336","0"
"San Bernardino Line","SBL-MTWTF-20190408","295201004-20190408","San Bernardino - Downtown","324","0"
"San Bernardino Line","SBL-Sat-20190408","295300261-20190408","L.A. Union Station","353","1"
"San Bernardino Line","SBL-Sat-20190408","295300266-20190408","L.A. Union Station","359","1"
"San Bernardino Line","SBL-Sat-20190408","295300269-20190408","L.A. Union Station","363","1"
